丆	⿱一丿
𢕬	⿰彳歰
𢕭	⿰彳敢
𢕮	⿰彳啻
𢕯	⿰彳覃
𢕰	⿰彳尊
𢕱	⿰彳⿳止日少
𢕲	⿲彳录攵
𢕳	⿲彳走司
𢕴	⿲彳𠦝攵
𢕵	⿲彳巷亍
𢕶	⿰彳⿳？一夊
𢕷	⿰彳爲
𢕸	⿰彳粦
𢕹	⿲彳𤰸攵
𢕺	⿰彳歲
𢕻	⿰彳詹
𢕼	⿰彳睘
𢕽	⿲彳⿱白⿻凵人戈
𢕾	⿰彳辟
𢕿	⿲彳⿱去日攵
𢖀	⿰律串
𢖁	⿲彳⿱𭇁⿻三丨阝
𢖂	⿰彳𫎴
𢖃	⿲彳丨菐
𢖄	⿲彳⿱山虫攵
𢖅	⿲彳訔亍
𢖆	⿰彳解
𢖇	⿰彳廌
𢖈	⿰彳翟
𢖉	⿰𢔸攵
𢖊	⿰彳䛣
𢖋	⿲彳⿱土𢌿亍
𢖌	⿰彳𡻷
𢖍	⿲彳魚亍
𢖎	⿰彳⿱䙲㠯
𢖏	⿰彳賣
𢖐	⿰彳麃
𢖑	⿰彳賛
𢖒	⿰彳憂
𢖓	⿰彳履
𢖔	⿰彳暴
𢖕	⿰後娄
𢖖	⿰娄後
𢖗	⿰束從
𢖘	⿰彳憲
𢖙	⿰彳歷
𢖚	⿰彳⿳𣅽大⺗
𢖛	⿲彳丨⿱夂黑
𢖜	⿲彳童攵
𢖝	⿰彳韱
𢖞	⿰彳毚
𢖟	⿰彳繇
𢖠	⿰彳嬰
𢖡	⿲彳⿱去𢇂亍
𢖢	⿲彳農攵
𢖣	⿰彳𤐫
𢖤	⿰彳題
𢖥	⿰彳靡
𢖦	⿰彳矍
𢖧	⿰彳囊
𢖨	⿳衛一⿱⿲𠂊丨又𪤷
𢖩	⿲丿乚丶
𢖪	⿰忄乚
𢖫	⿱刀心
𢖬	⿰忄匕
𢖭	⿰忄㔾
𢖮	⿺乙必
𢖯	⿰忄几
𢖰	⿱力心
𢖱	⿰忄乃
𢖲	⿰忄乇
𢖳	⿰忄于
𢖴	⿱乞心
𢖵	⿰忄女
𢖶	⿱工心
𢖷	⿰忄工
𢖸	⿰忄弓
𢖹	⿰忄小
𢖺	⿰忄弋
𢖻	⿱心夊
𢖼	⿱弋心
𢖽	⿱土心
𢖾	⿰忄凢
𢖿	⿱𡭔心
𢗀	⿱口心
𢗁	⿱⿵𠆢一心
𢗂	⿳乛丂心
𢗃	⿰忄亏
𢗄	⿰忄下
𢗅	⿰忄亾
𢗆	⿰忄丈
𢗇	⿰忄夕
𢗈	⿰必丁
𢗉	⿰忄内
𢗊	⿱介心
𢗋	⿰忄匀
𢗌	⿰忄巴
𢗍	⿱㞢心
𢗎	⿰忄殳
𢗏	⿱亓心
𢗐	⿱冘心
𢗑	⿰忄冗
𢗒	⿰忄丰
𢗓	⿱与心
𢗔	⿰忄丏
𢗕	⿰忄勾
𢗖	⿰忄壬
𢗗	⿰忄犬
𢗘	⿰忄勿
𢗙	⿰忄丐
𢗚	⿰忄歹
𢗛	⿰忄⿱㐅十
𢗜	⿰忄尺
𢗝	⿰忄互
𢗞	⿰忄厷
𢗟	⿰忄⿱𠂇几
𢗠	⿰忄切
𢗡	⿰忄攵
𢗢	⿰忄升
𢗣	⿱龶心
𢗤	⿱夫心
𢗥	⿱弌心
𢗦	⿱木心
𢗧	⿱切心
𢗨	⿱水心
𢗩	⿱𡈼心
𢗪	⿱氏心
𢗫	⿱不心
𢗬	⿱牙心
𢗭	⿱日心
𢗮	⿰心凶
𢗯	⿱月心
𢗰	⿰心心
𢗱	⿱肀心
𢗲	⿰忄夫
𢗳	⿰忄毛
𢗴	⿰忄兮
𢗵	⿰忄孔
𢗶	⿰忄⿱一𠔼
𢗷	⿰忄水
𢗸	⿰忄斗
𢗹	⿱斤心
𢗺	⿱必亡
𢗻	⿱六心
𢗼	⿰忄户
𢗽	⿰忄比
𢗾	⿰忄卬
𢗿	⿰忄末
𢘀	⿰忄犮
𢘁	⿱𠕁心
𢘂	⿱㚢心
𢘃	⿰忄母
𢘄	⿰忄囚
𢘅	⿱矛心
𢘆	⿰忄𣄼
𢘇	⿱旦心
𢘈	⿱⿵𠆢一⿰忄卩
𢘉	⿰忄甲
𢘊	⿰忄申
𢘋	⿱代心
𢘌	⿰忄弘
𢘍	⿱弗心
𢘎	⿰忄㞋
𢘏	⿰忄㞧
𢘐	⿰忄仝
𢘑	⿱一忠
𢘒	⿱尼心
𢘓	⿱母心
𢘔	⿱⿵𠆢一𢖭
𢘕	⿰忄矛
𢘖	⿱𠔼⿰心卩
𢘗	⿱𠂝心
𢘘	⿰忄𢎨
𢘙	⿰忄龙
𢘚	⿰忄⿷冘丶
𢘛	⿰忄斥
𢘜	⿰忄司
𢘝	⿰忄尔
𢘞	⿱尔心
𢘟	⿰心可
𢘠	⿱北心
𢘡	⿱生心
𢘢	⿱⿰亻亏心
𢘣	⿱白心
𢘤	⿱半心
𢘥	⿰忄市
𢘦	⿰忄叏
𢘧	⿰忄𡰦
𢘨	⿰忄𣎵
𢘩	⿰忄孕
𢘪	⿰忄𡉄
𢘫	⿱正心
𢘬	⿰忄㐌
𢘭	⿰忄用
𢘮	⿰忄立
𢘯	⿱它心
𢘰	⿱⿰土刀心
𢘱	⿵戊心
𢘲	⿱央心
𢘳	⿱禾心
𢘴	⿱⿰𠂎卪心
𢘵	⿱𡖉心
𢘶	⿰忄聿
𢘷	⿰忄虫
𢘸	⿰忄夅
𢘹	⿰忄杀
𢘺	⿰忄米
𢘻	⿱米心
𢘼	⿱⿻𦉫𠄠心
𢘽	⿰忄曳
𢘾	⿰忄如
𢘿	⿱艸心
𢙀	⿰忄朿
𢙁	⿱污心
𢙂	⿳一皿心
𢙃	⿰忄㫐
𢙄	⿱共心
𢙅	⿱合心
𢙆	⿰忄自
𢙇	⿰忄衣
𢙈	⿱心吅
𢙉	⿰忄𭗼
𢙊	⿰忄次
𢙋	⿰忄⿳八𠆢十
𢙌	⿱𡉚心
𢙍	⿱回心
𢙎	⿱⿻了双心
𢙏	⿱孙心
𢙐	⿰忄农
𢙑	⿰忄买
𢙒	⿰忄尧
𢙓	⿰忄会
𢙔	⿰忄礼
𢙕	⿰忄亦
𢙖	⿰忄㐁
𢙗	⿰忄妄
𢙘	⿰忄耳
𢙙	⿰忄𡵉
𢙚	⿰忄色
𢙛	⿰忄名
𢙜	⿰忄𫥞
𢙝	⿰忄先
𢙞	⿱臣心
𢙟	⿱𠯄心
𢙠	⿱伊心
𢙡	⿱行心
𢙢	⿱⿰工口心
𢙣	⿱覀心
𢙤	⿱尗心
𢙥	⿳㇒囚心
𢙦	⿱𦥓心
𢙧	⿲忄丨圥
𢙨	⿰忄存
𢙩	⿰忄耒
𢙪	⿰忄対
𢙫	⿰忄因
𢙬	⿰忄伊
𢙭	⿰尖心
𢙮	⿱在心
𢙯	⿱百心
𢙰	⿱⿰弓幺心
𢙱	⿰忄弄
𢙲	⿰忄吕
𢙳	⿰忄壯
𢙴	⿱㤅夊
𢙵	⿰忄𠯌
𢙶	⿱旱心
𢙷	⿱𢀜心
𢙸	⿱⿰口旡心
𢙹	⿰忄狄
𢙺	⿰忄志
𢙻	⿱⺻⿰心力
𢙼	⿰忄巠
𢙽	⿱每心
𢙾	⿰忄更
𢙿	⿰忄岑
𢚀	⿰忄延
𢚁	⿰忄忌
𢚂	⿰忄坐
𢚃	⿰忄寽
𢚄	⿰忄牢
𢚅	⿱扮心
𢚆	⿰忄助
𢚇	⿰忄𡉚
𢚈	⿳廿大⺗
𢚉	⿰忄𥃩
𢚊	⿱囧心
𢚋	⿰忄皃
𢚌	⿰忄⿱𫜹父
𢚍	⿰忄⿱守一
𢚎	⿱⿹⿺㇉一灬心
𢚏	⿱岑心
𢚐	⿱⿰彳攵心
𢚑	⿱㳉心
𢚒	⿱佘心
𢚓	⿱攺心
𢚔	⿰忄⿱公夊
𢚕	⿰忄曵
𢚖	⿱弟心
𢚗	⿰忄宋
𢚘	⿰忄言
𢚙	⿰忄斈
𢚚	⿰忄忘
𢚛	⿰忄克
𢚜	⿰忄⿱厶田
𢚝	⿰忄矣
𢚞	⿱冖𪫩
𢚟	⿱亨心
𢚠	⿱宋心
𢚡	⿱求心
𢚢	⿱改心
𢚣	⿱⿻了叹心
𢚤	⿱𪱳心
𢚥	⿳又玉心
𢚦	⿱孛心
𢚧	⿱𦣻心
𢚨	⿱何心
𢚩	⿳爫𫜹心
𢚪	⿱⿸尸火心
𢚫	⿱⿰𢎨又心
𢚬	⿰忄𡉤
𢚭	⿰忄汖
𢚮	⿰忄⿱𠂉⿸𠂇三
𢚯	⿰忄狂
𢚰	⿰忄𭗾
𢚱	⿳䒑公心
𢚲	⿰忄改
𢚳	⿱村心
𢚴	⿰忄忍
𢚵	⿰忄豸
𢚶	⿰忄妥
𢚷	⿰忄車
𢚸	⿱弄心
𢚹	⿰忄𣅘
𢚺	⿰忄吞
𢚻	⿰忄⿱口介
𢚼	⿰忄岌
𢚽	⿰忄沔
𢚾	⿰忄奂
𢚿	⿱⿰𱼀卪心
𢛀	⿵𨳇心
𢛁	⿱制心
𢛂	⿱卓心
𢛃	⿱咎心
𢛄	⿰忄厓
𢛅	⿰忄固
𢛆	⿱弦心
𢛇	⿱周心
𢛈	⿱怗心
𢛉	⿰忄垂
𢛊	⿰忄委
𢛋	⿱⿰䏍刂心
𢛌	⿰忄忩
𢛍	⿰忄知
𢛎	⿰忄㡀
𢛏	⿰忄取
𢛐	⿰忄𣏋
𢛑	⿱拘心
𢛒	⿰忄松
𢛓	⿱林心
𢛔	⿰忄東
𢛕	⿰忄囷
𢛖	⿱⿵共㔾心
𢛗	⿰忄劵
𢛘	⿰忄肴
𢛙	⿰忄穹
𢛚	⿱辰心
𢛛	⿰忄往
𢛜	⿱泥心
𢛝	⿱昌心
𢛞	⿰忄卑
𢛟	⿰忄亞
𢛠	⿰忄㕁
𢛡	⿰忄冐
𢛢	⿰忄𠄭
𢛣	⿱泯心
𢛤	⿱五忢
𢛥	⿸尸思
𢛦	⿱𣢊心
𢛧	⿱隹心
𢛨	⿰忄於
𢛩	⿵門⺗
𢛪	⿱⿵𠆢一怨
𢛫	⿱亠𢙣
𢛬	⿱宓心
𢛭	⿱⿰乡兂心
𢛮	⿱牧心
𢛯	⿰忄画
𢛰	⿰忄並
𢛱	⿱⿰朿力心
𢛲	⿱垂心
𢛴	⿰忄孟
𢛵	⿰忄爭
𢛶	⿱卧心
𢛷	⿰忄房
𢛸	⿰忄定
𢛹	⿰忄⿳丷日儿
𢛺	⿰忄抱
𢛻	⿰忄⿱龷月
𢛼	⿰忄叔
𢛽	⿰忄昌
𢛾	⿰忄图
𢛿	⿰忄昇
𢜀	⿰忄疌
𢜁	⿰忄⿱夕以
𢜂	⿱⿰关又心
𢜃	⿱沽心
𢜄	⿱⿰戶殳心
𢜅	⿱泠心
𢜆	⿱府心
𢜇	⿱𡧟心
𢜈	⿱玨心
𢜉	⿱拃心
𢜊	⿳工目心
𢜋	⿱拈心
𢜌	⿱招心
𢜍	⿱𤤅心
𢜎	⿱⿰⿻三丨⿻三丨心
𢜏	⿱明心
𢜐	⿰心隹
𢜑	⿱⿰月文心
𢜒	⿱侖心
𢜓	⿱⿰牜匁心
𢜔	⿱知心
𢜕	⿱⿰勿攵心
𢜖	⿳亠⿺𠃊冋心
𢜗	⿰忄奉
𢜘	⿰忄奔
𢜙	⿰忄䘚
𢜚	⿰忄⿱亠𢆶
𢜛	⿱欣心
𢜜	⿰忄虎
𢜝	⿰忄事
𢜞	⿰忄來
𢜟	⿰忄岡
𢜠	⿰忄明
𢜡	⿰忄妾
𢜢	⿰忄彼
𢜣	⿱㭊心
𢜤	⿳㐄冖𢖻
𢜥	⿰忄咎
𢜦	⿱炘心
𢜧	⿳田土心
𢜨	⿱枼心
𢜩	⿰忄咸
𢜪	⿰忄若
𢜫	⿰忄省
𢜬	⿰忄度
𢜭	⿰忄卻
𢜮	⿰忄某
𢜯	⿱某心
𢜰	⿰忄弇
𢜱	⿰忄咠
𢜲	⿰忄拏
𢜳	⿰忄壴
𢜴	⿰忄矦
𢜵	⿰忄侯
𢜶	⿰忄叜
𢜷	⿱衂心
𢜸	⿰忄柔
𢜹	⿱囿心
𢜺	⿰忄哀
𢜻	⿰忄爯
𢜼	⿰忄乗
𢜽	⿰忄癸
𢜾	⿰忄𢦶
𢜿	⿰忄家
𢝀	⿰忄突
𢝁	⿰忄訇
𢝂	⿰忄毒
𢝃	⿱帝心
𢝄	⿰忄叚
𢝅	⿱叚心
𢝆	⿰忄重
𢝇	⿰忄砉
𢝈	⿰忄盅
𢝉	⿰忄耷
𢝊	⿱頁心
𢝋	⿰忄亮
𢝌	⿰忄冒
𢝍	⿱怯心
𢝎	⿰忄匩
𢝏	⿳㇒⿴𡆦兀心
𢝐	⿱𢓄心
𢝑	⿳⿱䒑火人心
𢝒	⿰忄⿱正⺝
𢝓	⿰忄泉
𢝔	⿱則心
𢝕	⿳囧八心
𢝖	⿱甚心
𢝗	⿱𰄯心
𢝘	⿰忄𬛸
𢝙	⿰忄盃
𢝚	⿰忄洗
𢝛	⿰忄契
𢝜	⿰忄亭
𢝝	⿳目𡭕心
𢝞	⿰忄耶
𢝟	⿰忄㧝
𢝠	⿲忄矛攴
𢝡	⿰忄斿
𢝢	⿰忄𬥎
𢝣	⿰忄春
𢝤	⿰忄⿱乖一
𢝥	⿰忄𥝸
𢝦	⿱炳心
𢝧	⿱恨心
𢝨	⿱苦心
𢝩	⿱𭛨心
𢝪	⿱段心
𢝫	⿱壴心
𢝬	⿱者心
𢝭	⿱⿰工𠃨心
𢝮	⿳罒日心
𢝯	⿱⿵冂言心
𢝰	⿱⿰牜匆心
𢝱	⿱⿰彳米心
𢝲	⿱秌心
𢝳	⿱洪心
𢝴	⿱⿰忄覀心
𢝵	⿱飛心
𢝶	⿰忄耍
𢝷	⿰忄皆
𢝸	⿰忄咼
𢝹	⿰忄𰩬
𢝺	⿰忄盾
𢝻	⿰忄䀜
𢝼	⿰忄⿱𪜌子
𢝽	⿰忄敄
𢝾	⿰忄⿱爫𠙻
𢝿	⿰忄⿱出凶
𢞀	⿱𭣦心
𢞁	⿰忄風
𢞂	⿰忄盆
𢞃	⿰忄紅
𢞄	⿰忄垢
𢞅	⿰忄要
𢞆	⿰忄彦
𢞇	⿰忄苔
𢞈	⿱剈心
𢞉	⿱洞心
𢞊	⿰忄凾
𢞋	⿰亻⿱吞心
𢞌	⿰忄⿱𦥑儿
𢞍	⿱⿰𦣞己心
𢞎	⿰忄𤰇
𢞏	⿰忄宫
𢞐	⿰忄害
𢞑	⿰忄𢀡
𢞒	⿱殺心
𢞓	⿰忄留
𢞔	⿱弱心
𢞕	⿰忄隺
𢞖	⿰忄笑
𢞗	⿰忄𣬉
𢞘	⿱百念
𢞙	⿰忄挐
𢞚	⿱耿心
𢞛	⿰忄𠣬
𢞜	⿰忄屑
𢞝	⿱𡨄⺗
𢞞	⿰忄迷
𢞟	⿰忄高
𢞠	⿰忄𦐇
𢞡	⿰忄冓
𢞢	⿱𢈏心
𢞣	⿱倐心
𢞤	⿱䘐心
𢞥	⿱𠓭心
𢞦	⿰忄𣆫
𢞧	⿰忄⿱龷旬
𢞨	⿱卉思
𢞩	⿱害心
𢞪	⿱⿰犭㞷心
𢞫	⿱㑥心
𢞬	⿰忄烏
𢞭	⿱留心
𢞮	⿰忄𱦋
𢞯	⿱專心
𢞰	⿱民思
𢞱	⿱疾心
𢞲	⿰忄窄
𢞳	⿰忄⿱⿻了叹山
𢞴	⿰忄恩
𢞵	⿱飛必
𢞶	⿰忄𧰲
𢞷	⿰忄𡘤
𢞸	⿰忄⿰朿殳
𢞹	⿰忄⿳⿱一丷日大
𢞺	⿰忄恭
𢞻	⿰忄荐
𢞼	⿰忄桀
𢞽	⿱敉心
𢞾	⿱⿲冫不攵心
𢞿	⿱彧心
𢟀	⿱馬心
𢟁	⿱般心
𢟂	⿱𪝉心
𢟃	⿰𢖶⿹⺄⿱䶹䶹
𢟄	⿰恧丑
𢟅	⿱修心
𢟆	⿱狸心
𢟇	⿱⿰女医心
𢟈	⿰忄恐
𢟉	⿰忄荅
𢟊	⿰忄乘
𢟋	⿰忄追
𢟌	⿰忄殺
𢟍	⿸𠩵心
𢟎	⿰忄徒
𢟏	⿰忄烈
𢟐	⿰忄珠
𢟑	⿰忄軒
𢟒	⿰忄能
𢟓	⿰忄宰
𢟔	⿰忄退
𢟕	⿰忄納
𢟖	⿰忄浸
𢟗	⿰忄涅
𢟘	⿰忄聀
𢟙	⿰忄針
𢟚	⿰忄⿱吂⺝
𢟛	⿱恥弔
𢟜	⿱夏心
𢟝	⿰忄殷
𢟞	⿰忄凍
𢟟	⿰忄⿱百戈
𢟠	⿰忄奞
𢟡	⿰忄⿱艹⿹勹用
𢟢	⿰忄离
𢟣	⿰忄羕
𢟤	⿸𠩺心
𢟥	⿱𱥗心
𢟦	⿰忄衮
𢟧	⿰忄鹵
𢟨	⿰忄莽
𢟩	⿰忄彗
𢟪	⿱既心
𢟫	⿰忄㝠
𢟬	⿱𤈫心
𢟭	⿰忄𡨥
𢟮	⿱㒼心
𢟯	⿱埶心
𢟰	⿰忄豙
𢟱	⿰忄𣳾
𢟲	⿸辰⿱寸心
𢟳	⿰忄率
𢟴	⿰忄㢈
𢟵	⿰忄𡌦
𢟶	⿰忄䖏
𢟷	⿰忄畨
𢟸	⿰忄𦘕
𢟹	⿰忄⿸辰寸
𢟺	⿰忄⿱羽尒
𢟻	⿱赦心
𢟼	⿰忄梦
𢟽	⿱莫心
𢟾	⿰忄⿱𦒳毛
𢟿	⿰忄⿱罒𠂢
𢠀	⿱⿺𠃊商心
𢠁	⿰忄啬
𢠂	⿰忄敕
𢠃	⿱猄心
𢠄	⿰忄崇
𢠅	⿰忄舂
𢠆	⿰忄通
𢠇	⿰忄許
𢠈	⿰忄貧
𢠉	⿰忄偶
𢠊	⿰忄叄
𢠋	⿰忄⿱𫲽心
𢠌	⿰忄強
𢠍	⿰忄⿳艹日寸
𢠎	⿰忄崑
𢠏	⿰忄盒
𢠐	⿰忄魚
𢠑	⿰忄⿱𠂉品
𢠒	⿱𥹙心
𢠓	⿸康心
𢠔	⿱减心
𢠕	⿱⿰忄⿱工目心
𢠖	⿱⿲木女木心
𢠗	⿰來忍
𢠘	⿱⿲木夕木心
𢠙	⿱偶心
𢠚	⿱偸心
𢠛	⿱教心
𢠜	⿱㪍心
𢠝	⿱國心
𢠞	⿱艸思
𢠟	⿰忄⿱正𧰨
𢠠	⿰忄寇
𢠡	⿰忄𡨼
𢠢	⿰忄尉
𢠣	⿰忄陳
𢠤	⿰忄弹
𢠥	⿰忄乾
𢠦	⿰忄𦰩
𢠧	⿰忄𡕩
𢠨	⿰忄敏
𢠩	⿰忄麻
𢠪	⿰忄罣
𢠫	⿰忄庶
𢠬	⿱⿰⿸尸大𪠲心
𢠭	⿰忄寂
𢠮	⿰忄⿻吕氺
𢠯	⿰忄朗
𢠰	⿰忄從
𢠱	⿱𧹞心
𢠲	⿰忄富
𢠳	⿰忄敝
𢠴	⿱粦心
𢠵	⿰忄敞
𢠶	⿵門芯
𢠷	⿰忄項
𢠸	⿱單心
𢠹	⿰忄斯
𢠺	⿰忄發
𢠻	⿰忄逮
𢠼	⿰忄買
𢠽	⿰忄象
𢠾	⿱𦧗心
𢠿	⿰忄爲
𢡀	⿰忄黑
𢡁	⿰忄翕
𢡂	⿱湯心
𢡃	⿱立患
𢡄	⿰忄⿱𭑈日
𢡅	⿰忄棐
𢡆	⿱豤心
𢡇	⿰忄辜
𢡈	⿱𠭥心
𢡉	⿰忄歰
𢡊	⿰忄⿱𭑈心
𢡋	⿰忄臯
𢡌	⿰忄⿳⿻⿻口一⿱丶丶⿻口丨女
𢡍	⿰忄鬲
𢡎	⿰忄遇
𢡏	⿰忄袲
𢡐	⿰忄⿱衣耳
𢡑	⿱㪙心
𢡒	⿰忄⿸庚止
𢡓	⿰忄⿱⿱⺈⿵冂人⿹⿺㇉一灬
𢡔	⿱⿰囟囟心
𢡕	⿱⿰片易心
𢡖	⿰忄叅
𢡗	⿱萌心
𢡘	⿳卉⿱田厶心
𢡙	⿵門忿
𢡚	⿰忄替
𢡜	⿰忄款
𢡝	⿰忄⿱立貝
𢡞	⿰忄閏
𢡟	⿱棥心
𢡠	⿰忄戠
𢡡	⿰忄𢜊
𢡢	⿱隋心
𢡣	⿱除𠇍
𢡤	⿰忄⿳一⿴⿰丨丨𠄠⿵冂𢆉
𢡥	⿵門忞
𢡦	⿰忄㟯
𢡧	⿰忄幾
𢡨	⿰忄𣁽
𢡩	⿰忄等
𢡪	⿱⿰镸示心
𢡫	⿱椎心
𢡬	⿱歮心
𢡭	⿳龸呙心
𢡮	⿱欽心
𢡯	⿱殽心
𢡰	⿱奣心
𢡱	⿱殼心
𢡲	⿱聒心
𢡳	⿱萅心
𢡴	⿱⿰？予心
𢡵	⿱𦓔心
𢡶	⿱𡙕心
𢡷	⿱⿰⿻未丶攵⿸厂心
𢡸	⿱𥇇心
𢡹	⿱㣫心
𢡺	⿱爲心
𢡻	⿱閔心
𢡼	⿰忄𦓔
𢡽	⿰忄㫺
𢡾	⿰忄𥆝
𢡿	⿰忄閑
𢢀	⿰忄間
𢢁	⿰忄孱
𢢂	⿰忄結
𢢃	⿱秘𠇍
𢢄	⿰忄𡺥
𢢅	⿰忄朝
𢢆	⿰忄⿳羊䒑口
𢢇	⿰忄最
𢢈	⿰忄寒
𢢉	⿱渃心
𢢊	⿰忄隊
𢢋	⿰忄⿱山彦
𢢌	⿱敞心
𢢍	⿱⿰⿱夂羊刃心
𢢎	⿳⿴𦥑？一心
𢢏	⿰忄普
𢢐	⿱⿰犭带心
𢢑	⿱偹心
𢢒	⿰忄窣
𢢓	⿰忄雍
𢢔	⿰忄㬅
𢢕	⿰忄猷
𢢖	⿰忄葛
𢢗	⿰忄蜀
𢢘	⿰忄廌
𢢙	⿰忄㮚
𢢚	⿰忄歇
𢢛	⿰忄虜
𢢜	⿰忄業
𢢝	⿰忄遂
𢢞	⿱𣪠心
𢢟	⿰忄⿱屮⿰⿻䶹凵⿻屮凵
𢢠	⿱隓心
𢢡	⿱𢾕心
𢢢	⿰⿱⿱士冖𱞂殳
𢢣	⿱解心
𢢤	⿱明怘
𢢥	⿰忄𢝔
𢢦	⿳亠⿲幺田幺心
𢢧	⿱𠷎心
𢢨	⿱⿰里夅心
𢢩	⿰忄敬
𢢪	⿰忄豊
𢢬	⿰忄禽
𢢭	⿱瑜心
𢢮	⿰忄𬝑
𢢯	⿰忄嵬
𢢰	⿰忄𥇛
𢢱	⿱翛心
𢢲	⿰忄葉
𢢳	⿰忄⿱日厘
𢢴	⿰忄煞
𢢵	⿱源心
𢢶	⿱㰻心
𢢷	⿱媽心
𢢸	⿰咼㤅
𢢹	⿱⿰牜香心
𢢺	⿰忄𭿃
𢢻	⿰忄𧵩
𢢼	⿰忄剽
𢢽	⿰忄貇
𢢾	⿰忄資
𢢿	⿱㝅心
𢣀	⿰忄碍
𢣁	⿱愩心
𢣂	⿰忄義
𢣃	⿰忄碎
𢣄	⿰忄過
𢣅	⿰忄落
𢣆	⿰忄嵩
𢣇	⿰忄歆
𢣈	⿰惱攵
𢣉	⿱⿰号官心
𢣊	⿰忄⿱⿰⿱丶㐅禾目
𢣋	⿱葡心
𢣌	⿰忄𡕰
𢣍	⿱僃心
𢣎	⿰忄㡭
𢣏	⿰忄蓋
𢣐	⿰忄賓
𢣑	⿱辡心
𢣒	⿰忄䰟
𢣓	⿱㼲心
𢣔	⿰忄臱
𢣕	⿱疑心
𢣖	⿰忄⿱𢀡心
𢣗	⿰忄麼
𢣘	⿱維心
𢣙	⿰忄⿱𤇾王
𢣚	⿰忄爾
𢣛	⿰忄勭
𢣜	⿰忄⿺辵車
𢣝	⿰忄⿱尨尨
𢣞	⿰⿱⿱士冖𭜫丸
𢣟	⿱與⺗
𢣠	⿱𦞧心
𢣡	⿱𣘐心
𢣢	⿰思劦
𢣣	⿱漣心
𢣤	⿰忄熏
𢣥	⿱慚心
𢣦	⿰忄鼻
𢣧	⿰忄𧇊
𢣨	⿰忄⿱山爽
𢣩	⿰忄銀
𢣪	⿱彰心
𢣫	⿱恋𢗰
𢣬	⿱⿲木吊木心
𢣭	⿱爾心
𢣮	⿱⿰晏攵心
𢣯	⿱𬆭心
𢣰	⿱銀心
𢣱	⿱𣗥心
𢣲	⿲男心男
𢣳	⿱惢戍
𢣴	⿰忄𤌹
𢣵	⿰忄㕑
𢣶	⿰忄㷠
𢣷	⿰忄翟
𢣸	⿰忄語
𢣹	⿰忄𦥷
𢣺	⿰忄盡
𢣻	⿰忄閭
𢣼	⿰忄察
𢣽	⿸广㦔
𢣾	⿰忄摩
𢣿	⿰忄慮
𢤀	⿱興心
𢤁	⿱僺心
𢤂	⿱黎心
𢤃	⿱暱心
𢤄	⿰忄蔥
𢤅	⿱⿰歺帶心
𢤆	⿰忄厲
𢤇	⿰忄罵
𢤈	⿰忄𦎧
𢤉	⿱𥫗⿹⿻弓⿱？匚心
𢤊	⿱適心
𢤋	⿰忄⿱⿻土䀠八
𢤌	⿱銽心
𢤍	⿱𤡜心
𢤎	⿱撮心
𢤏	⿱？患
𢤐	⿱劉心
𢤑	⿳宀㠭心
𢤒	⿱𦦀心
𢤓	⿰忄⿱雨吾
𢤔	⿱殢心
𢤕	⿱𣦼悲
𢤖	⿱幢心
𢤗	⿰忄賞
𢤘	⿱蔄心
𢤙	⿱𭮼心
𢤚	⿲忄𠫹戈
𢤛	⿰忄罷
𢤜	⿰忄鄭
𢤝	⿰忄箴
𢤞	⿰忄賢
𢤟	⿰忄震
𢤠	⿰忄輦
𢤡	⿰忄磊
𢤢	⿰忄熱
𢤣	⿰忄箭
𢤤	⿱憧心
𢤥	⿰壴恣
𢤦	⿰忄蕫
𢤧	⿱䫉心
𢤨	⿰忄螢
𢤩	⿰忄歷
𢤪	⿰忄𨗉
𢤫	⿰忄舉
𢤬	⿰忄奮
𢤭	⿰忄廩
𢤮	⿰忄嶲
𢤯	⿰忄韰
𢤰	⿱韰心
𢤱	⿰忄龍
𢤲	⿱龍心
𢤳	⿰忄䝿
𢤴	⿲𨐌忄𨐌
𢤵	⿱⿰其其心
𢤶	⿱𭮰怘
𢤷	⿱篤心
𢤸	⿰忄隧
𢤹	⿱鋸心
𢤺	⿰忄蕙
𢤻	⿰忄𦏁
𢤼	⿰忄蕉
𢤽	⿰忄興
𢤾	⿰忄學
𢤿	⿱賴心
𢥀	⿰憂圣
𢥁	⿳芔⿱由厶心
𢥂	⿰忄駦
𢥃	⿰忄諸
𢥄	⿰忄麇
𢥅	⿰忄錦
𢥆	⿰忄篭
𢥇	⿰忄戰
𢥈	⿰忄盧
𢥉	⿰忄蕩
𢥊	⿰忄覧
𢥋	⿰忄毚
𢥌	⿰忄鮮
𢥍	⿱𭄘心
𢥎	⿰忄賷
𢥏	⿰忄營
𢥐	⿰忄麋
𢥑	⿰忄謈
𢥒	⿱𤇾悉
𢥓	⿲忄⿳业𦍌口寸
𢥔	⿰章息
𢥕	⿰忄螽
𢥖	⿰忄齋
𢥗	⿱離心
𢥘	⿰忄巂
𢥙	⿰憂夅
𢥚	⿰忄爵
𢥛	⿱𡫟心
𢥜	⿱𡫟⺗
𢥝	⿰忄夒
𢥞	⿰忄蟲
𢥟	⿰忄㬥
𢥠	⿰忄雙
𢥡	⿰忄𤐫
𢥢	⿰忄謹
𢥣	⿰忄𥳑
𢥤	⿱⿰春頁心
𢥥	⿰忄爕
𢥦	⿰𦎫⿱攵心
𢥧	⿱願心
